Date,AXISBANK.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TCS.NS,TECHM.NS,WIPRO.NS
2022-04-26,771.7775268554688,1540.3438720703125,710.40380859375,739.17724609375,154.29750061035156,3176.117431640625,938.7863159179688,141.3795928955078,4402.15185546875,808.8984985351562,913.6321411132812,641.9805297851562,541.2302856445312,1981.998046875,731.1521606445312,949.9547729492188,1389.2110595703125,208.79196166992188,347.2623291015625,1615.6334228515625,7626.44384765625,884.8311157226562,138.43614196777344,130.0503387451172,145.34812927246094,1257.1414794921875,1086.744384765625,462.40472412109375,883.0157470703125,788.7008666992188,3108.953369140625,1110.1942138671875,246.92356872558594
2022-04-27,762.7153930664062,1479.6705322265625,658.7514038085938,735.4633178710938,151.66964721679688,3143.675537109375,938.16259765625,138.49880981445312,4412.865234375,793.80908203125,914.7173461914062,642.2144165039062,539.0647583007812,1978.999755859375,714.6134033203125,944.189697265625,1364.4320068359375,207.6228485107422,347.0231628417969,1593.869384765625,7512.28955078125,875.570068359375,137.2457733154297,128.41448974609375,143.9047088623047,1258.3646240234375,1066.247314453125,454.8580322265625,871.5218505859375,766.2022094726562,3122.015625,1097.8341064453125,242.11807250976562
2022-04-28,776.5575561523438,1498.178466796875,660.080810546875,730.4298706054688,152.84910583496094,3162.179931640625,941.472900390625,140.53013610839844,4445.98291015625,802.590087890625,927.3653564453125,641.6528930664062,562.4424438476562,2068.258544921875,724.7500610351562,957.6090087890625,1390.616943359375,210.52554321289062,351.8354797363281,1633.9761962890625,7608.5029296875,885.4053344726562,140.81690979003906,128.37554931640625,147.8584747314453,1277.1605224609375,1108.5816650390625,464.2342529296875,885.853271484375,778.7227783203125,3142.267333984375,1106.5821533203125,243.79762268066406
2022-04-29,725.5704956054688,1488.1285400390625,654.6011352539062,722.2689208984375,150.05572509765625,3088.1142578125,941.472900390625,135.06402587890625,4388.3203125,804.498291015625,916.1182250976562,647.8525390625,573.2699584960938,2061.80029296875,721.0155029296875,948.11376953125,1377.3927001953125,209.2757568359375,356.83709716796875,1610.3111572265625,7444.1923828125,880.7255249023438,137.73074340820312,124.98697662353516,142.9319305419922,1263.7542724609375,1097.315673828125,453.9890441894531,893.2113647460938,790.3318481445312,3109.303955078125,1095.87548828125,237.3825225830078
2022-05-02,724.3256225585938,1492.749267578125,650.1221313476562,724.565673828125,151.64898681640625,3080.6279296875,937.0592041015625,138.60960388183594,4392.4599609375,802.930908203125,905.6348266601562,656.7894897460938,570.7599487304688,2057.78662109375,718.7845458984375,986.4336547851562,1354.0633544921875,212.1784210205078,353.569091796875,1596.1502685546875,7364.0869140625,886.0227661132812,138.8770294189453,121.79319763183594,145.3167724609375,1259.3157958984375,1073.046630859375,449.1408996582031,888.1615600585938,790.9555053710938,3105.53466796875,1071.677490234375,230.944091796875
2022-05-04,704.2593994140625,1429.37646484375,622.022216796875,706.0447998046875,150.40748596191406,3188.12451171875,918.7804565429688,138.3880157470703,4231.26123046875,777.3178100585938,887.0025634765625,634.470703125,558.7019653320312,2003.401611328125,702.5367431640625,947.87158203125,1349.2747802734375,209.43701171875,353.81817626953125,1552.906982421875,7135.63330078125,869.0715942382812,139.89105224609375,126.38912963867188,149.11361694335938,1220.0023193359375,1069.8701171875,438.7585144042969,866.5202026367188,770.7115478515625,3050.611083984375,1055.66162109375,229.4277801513672
2022-05-05,699.4296264648438,1411.09326171875,619.0492553710938,702.6728515625,149.39356994628906,3085.99560546875,910.0009155273438,137.27999877929688,4252.34765625,771.7590942382812,910.0064086914062,633.0435180664062,560.8182983398438,1998.834716796875,706.9502563476562,907.6622924804688,1392.8577880859375,211.29151916503906,358.2020568847656,1556.423583984375,7145.0380859375,845.816650390625,139.67059326171875,128.41448974609375,146.6974334716797,1196.1109619140625,1075.6273193359375,439.07867431640625,844.638427734375,744.8547973632812,3080.11083984375,1099.6619873046875,233.8134002685547
2022-05-06,670.6000366210938,1361.3182373046875,588.7171630859375,694.1698608398438,147.8623809814453,3115.00048828125,896.903564453125,138.42494201660156,4057.59423828125,765.3046875,891.4591064453125,616.50341796875,557.0779418945312,1982.7822265625,697.6865234375,886.927978515625,1355.6890869140625,215.00050354003906,353.7584228515625,1541.977294921875,7021.189453125,816.5892944335938,140.19967651367188,130.0503387451172,149.61572265625,1186.9393310546875,1051.3087158203125,442.69195556640625,849.5918579101562,733.9173583984375,3009.275146484375,1123.51220703125,226.32521057128906
2022-05-09,660.9403686523438,1375.62451171875,592.3130493164062,695.3915405273438,146.2484588623047,3062.499755859375,900.309814453125,135.21177673339844,4121.14892578125,760.4663696289062,913.4441528320312,617.5560913085938,555.0108032226562,1952.7530517578125,689.0533447265625,862.02734375,1379.85302734375,212.01718139648438,352.2041320800781,1535.989990234375,7099.3662109375,792.9931640625,140.19967651367188,128.3365936279297,153.85189819335938,1140.583251953125,1056.5694580078125,435.32818603515625,851.61181640625,727.4891357421875,3020.234375,1097.7471923828125,225.41542053222656
2022-05-10,657.0067749023438,1360.2802734375,581.6676025390625,703.3570556640625,146.2691650390625,3057.3203125,888.65185546875,125.60919189453125,4184.703125,762.0629272460938,910.4310913085938,627.4756469726562,550.4337158203125,2011.56640625,689.974853515625,882.4225463867188,1364.60791015625,209.43701171875,358.11236572265625,1528.1966552734375,7249.4501953125,793.7738647460938,137.06942749023438,120.3131103515625,152.91050720214844,1120.813232421875,1073.046630859375,434.6878967285156,828.96044921875,715.544189453125,3014.6669921875,1081.33935546875,222.84938049316406
2022-05-11,669.5543823242188,1330.310302734375,569.7515869140625,706.4845581054688,143.64132690429688,3069.844970703125,899.6381225585938,125.46146392822266,4182.21875,756.2316284179688,900.5416870117188,631.0082397460938,554.7154541015625,1995.9752197265625,692.7880249023438,894.6306762695312,1341.542236328125,206.13119506835938,360.6629638671875,1492.8892822265625,7134.2353515625,793.3798828125,134.5123291015625,123.54588317871094,150.1177520751953,1109.3319091796875,1079.1014404296875,435.92279052734375,822.1795043945312,713.9131469726562,2991.21630859375,1065.80224609375,220.1667022705078
2022-05-12,646.9487915039062,1282.4962158203125,548.7943115234375,689.4296875,140.6824188232422,3029.3515625,883.470458984375,123.39319610595703,4123.388671875,755.4430541992188,899.2686157226562,616.784423828125,538.6709594726562,1973.187744140625,674.9395141601562,842.8432006835938,1325.7696533203125,203.91384887695312,350.8889465332031,1450.453857421875,6996.49755859375,779.330810546875,130.9853057861328,121.91004180908203,148.04672241210938,1086.7313232421875,1052.7479248046875,423.2077941894531,817.5626220703125,708.1085815429688,2988.27880859375,1055.66162109375,221.05313110351562
2022-05-13,633.3057861328125,1258.3048095703125,541.1757202148438,674.2806396484375,139.44091796875,3087.407958984375,896.7596435546875,124.61199188232422,4169.85009765625,764.068359375,893.1142578125,611.2462768554688,542.1161499023438,2024.20556640625,657.0426635742188,845.2169189453125,1321.9033203125,208.50978088378906,354.60528564453125,1458.389892578125,6850.17578125,788.1210327148438,127.10555267333984,119.61204528808594,148.29779052734375,1099.0506591796875,1037.2137451171875,406.74237060546875,848.8224487304688,707.6767578125,2993.75830078125,1047.0008544921875,218.65037536621094
2022-05-16,636.293212890625,1262.990478515625,553.896240234375,677.5059204101562,139.08914184570312,3093.434814453125,895.6083374023438,126.82797241210938,4108.48681640625,757.0784912109375,886.6630859375,617.7546997070312,541.0826416015625,2045.5633544921875,662.5233154296875,858.3455810546875,1308.45947265625,204.8813934326172,361.2408752441406,1466.3731689453125,6990.66162109375,779.2755126953125,130.72076416015625,119.57310485839844,147.607421875,1099.322265625,1036.9161376953125,416.2099914550781,851.8040771484375,705.6620483398438,2960.35693359375,1034.9888916015625,218.34713745117188
2022-05-17,652.2267456054688,1294.6119384765625,572.7244873046875,691.0422973632812,141.7169952392578,3172.491943359375,900.0220336914062,136.31976318359375,4191.52197265625,760.1159057617188,919.2162475585938,621.9674072265625,546.1517944335938,2071.164306640625,688.7138061523438,875.7371826171875,1334.2490234375,213.42820739746094,366.7107238769531,1524.5374755859375,7265.7509765625,784.2988891601562,132.7047119140625,127.0902099609375,149.7725830078125,1145.4971923828125,1062.4754638671875,427.46142578125,857.719482421875,704.4627075195312,3025.9326171875,1042.953369140625,227.04835510253906
2022-05-18,656.7080078125,1273.6590576171875,570.5562133789062,680.3890991210938,137.35104370117188,3196.505859375,918.3486328125,137.0583953857422,4253.22509765625,760.4663696289062,911.4069213867188,621.9201049804688,541.3779296875,2113.971435546875,686.143310546875,875.0589599609375,1326.12109375,215.12147521972656,368.00592041015625,1494.5048828125,7298.3046875,785.26953125,130.9412078857422,127.12915802001953,143.0260772705078,1149.6641845703125,1065.9495849609375,418.9542541503906,864.8370971679688,723.6993408203125,3023.4775390625,1020.191650390625,224.5289764404297
2022-05-19,647.4965209960938,1238.8988037109375,559.9400634765625,658.9849243164062,135.17845153808594,3137.837158203125,900.0220336914062,133.84524536132812,4090.077880859375,765.0711669921875,856.826171875,609.2109985351562,520.411865234375,2089.200439453125,669.6045532226562,839.306640625,1254.0245361328125,222.25723266601562,355.3724670410156,1471.17236328125,7142.0478515625,773.2887573242188,130.50033569335938,124.63642883300781,143.277099609375,1123.16845703125,1048.8271484375,409.349365234375,850.84228515625,692.0380859375,2859.670654296875,964.744873046875,210.48570251464844
2022-05-20,670.3012084960938,1253.6541748046875,566.0820922851562,672.3258056640625,137.72349548339844,3249.147216796875,938.7863159179688,137.35386657714844,4192.9326171875,827.3075561523438,873.336181640625,625.2571411132812,536.1610107421875,2145.84619140625,688.27734375,868.6158447265625,1278.627685546875,225.76463317871094,364.4889221191406,1530.2398681640625,7317.64404296875,810.1771850585938,131.91114807128906,126.11648559570312,143.747802734375,1188.660400390625,1063.41845703125,422.9790954589844,880.7074584960938,709.5956420898438,2886.891845703125,984.3731689453125,214.42808532714844
2022-05-23,672.5418701171875,1254.77197265625,568.4761962890625,670.322265625,137.43380737304688,3283.802734375,930.7743530273438,136.13510131835938,3796.607421875,832.340576171875,864.3809814453125,617.2340698242188,542.5099487304688,2195.5263671875,689.732421875,874.3323364257812,1290.2706298828125,221.3299560546875,369.5004577636719,1562.6011962890625,7617.47412109375,816.5339965820312,132.39608764648438,120.81946563720703,140.955078125,1180.7117919921875,1068.5302734375,421.6069641113281,886.8631591796875,700.0972900390625,2912.09619140625,994.818359375,217.4140167236328
